ATE,Error_ATE,Error_PEHE,Problem
0.469213,0.381822,0.306028,ACIC 0
1.80266,0.00892,8e-05,ACIC 1
-4.762292,0.01503,0.000226,ACIC 2
-0.004695,0.771266,0.594851,ACIC 3
0.425277,0.269336,0.072542,ACIC 4
-0.179795,0.29203,0.085282,ACIC 5
-2.313059,0.004483,2e-05,ACIC 6
2.942983,0.168567,0.028415,ACIC 7
-4.077064,0.002958,9e-06,ACIC 8
1.133959,40.100146,1609.401121,ACIC 9
-7.582257,0.018924,0.000358,ACIC 10
3.714233,0.780633,0.609406,ACIC 11
-12.237335,0.24316,0.059127,ACIC 12
0.019819,0.017461,0.000334,ACIC 13
0.059331,0.006207,3.9e-05,ACIC 14
1.912783,1.915337,6.909435,ACIC 15
-0.214989,0.001049,1e-06,ACIC 16
0.430697,0.442445,0.389523,ACIC 17
2.338931,2.364158,10.650778,ACIC 18
-6.003887,0.011656,0.000136,ACIC 19
-0.264239,0.009421,8.9e-05,ACIC 20
-0.091192,0.066842,2.133059,ACIC 21
3.031096,68.408242,15536.275596,ACIC 22
-0.958411,0.050515,0.002552,ACIC 23
6.322845,1.190505,1.418039,ACIC 24
1.587566,0.010911,0.000119,ACIC 25
5.6889,0.001923,4e-06,ACIC 26
6.475806,6.49123,71.321924,ACIC 27
5.136856,0.016918,0.000286,ACIC 28
4.397258,0.239673,0.057443,ACIC 29
0.127151,0.016941,0.00098,ACIC 30
-0.511276,0.038937,0.001516,ACIC 31
0.146709,0.062224,0.003872,ACIC 32
2.851171,3.634609,48.196432,ACIC 33
1.648949,0.905389,0.819735,ACIC 34
-2.089809,0.011145,0.000124,ACIC 35
